Facility Size Projection Details								
Period:	Feb-20							
Report Date:	11-Feb-20							
Facility	Month	CP(-3) PHrs	Production Plan PHrs	Ratio				
AAG	Jan-19	" 10,126.48 "	" 15,643.00 "	154%				
AAG	Feb-19	" 16,185.35 "	" 13,490.00 "	83%				
AAG	Mar-19	" 13,998.37 "	" 14,587.00 "	104%				
AAG	Apr-19	" 14,385.37 "	" 10,642.00 "	74%				
AAG	May-19	" 11,335.10 "	" 9,219.00 "	81%				
AAG	Jun-19	" 8,399.59 "	" 9,308.00 "	111%				
AAG	Jul-19	" 9,530.70 "	" 10,200.00 "	107%				
ACE	Jan-19	" 20,974.96 "	" 15,287.00 "	73%				
ACE	Feb-19	" 16,931.60 "	" 22,793.40 "	135%				
ACE	Mar-19	" 25,936.44 "	" 20,609.84 "	79%				
ACE	Apr-19	" 23,907.22 "	" 19,667.22 "	82%				
ACE	May-19	" 23,891.13 "	" 18,436.37 "	77%				
ACE	Jun-19	" 17,388.11 "	" 20,009.00 "	115%				
ACE	Jul-19	" 18,587.55 "	" 18,710.97 "	101%				
AKS	Jan-19	" 15,934.11 "	" 14,961.11 "	94%				
AKS	Feb-19	" 19,836.66 "	" 20,984.00 "	106%				
AKS	Mar-19	" 22,446.28 "	" 30,477.77 "	136%				
AKS	Apr-19	" 23,192.74 "	" 32,304.00 "	139%				
AKS	May-19	" 20,488.60 "	" 30,249.00 "	148%				
AKS	Jun-19	" 25,115.14 "	" 33,831.00 "	135%				
AKS	Jul-19	" 20,145.25 "	" 25,437.00 "	126%				
ASP	Jan-19	" 23,002.21 "	" 29,957.00 "	130%				
ASP	Feb-19	" 32,639.36 "	" 28,266.00 "	87%				
ASP	Mar-19	" 27,834.46 "	" 29,985.00 "	108%				
ASP	Apr-19	" 27,447.66 "	" 25,971.00 "	95%				
ASP	May-19	" 27,115.56 "	" 26,028.00 "	96%				
ASP	Jun-19	" 25,063.03 "	" 27,177.00 "	108%				
