Infrastructure Projection Details,,,,,,,,
Period:,Feb-20,,,,,,,
Report Date:,11-Feb-20,,,,,,,
Facility,Month,CP(-2) PHrs,Production Plan PHrs,Ratio,,,,
AAG,Jan-19," 9,760.81 "," 15,643.00 ",160%,,,,
AAG,Feb-19," 15,498.03 "," 13,490.00 ",87%,,,,
AAG,Mar-19," 12,511.91 "," 14,587.00 ",117%,,,,
AAG,Apr-19," 13,477.85 "," 10,642.00 ",79%,,,,
AAG,May-19," 11,532.52 "," 9,219.00 ",80%,,,,
AAG,Jun-19," 9,838.70 "," 9,308.00 ",95%,,,,
AAG,Jul-19," 9,944.54 "," 10,200.00 ",103%,,,,
ACE,Jan-19," 18,697.82 "," 15,287.00 ",82%,,,,
ACE,Feb-19," 17,418.94 "," 22,793.40 ",131%,,,,
ACE,Mar-19," 26,370.97 "," 20,609.84 ",78%,,,,
ACE,Apr-19," 22,341.50 "," 19,667.22 ",88%,,,,
ACE,May-19," 21,561.46 "," 18,436.37 ",86%,,,,
ACE,Jun-19," 18,478.11 "," 20,009.00 ",108%,,,,
ACE,Jul-19," 21,784.17 "," 18,710.97 ",86%,,,,
AKS,Jan-19," 14,449.75 "," 14,961.11 ",104%,,,,
AKS,Feb-19," 19,673.70 "," 20,984.00 ",107%,,,,
AKS,Mar-19," 21,308.58 "," 30,477.77 ",143%,,,,
AKS,Apr-19," 23,370.28 "," 32,304.00 ",138%,,,,
AKS,May-19," 22,473.63 "," 30,249.00 ",135%,,,,
AKS,Jun-19," 26,977.45 "," 33,831.00 ",125%,,,,
AKS,Jul-19," 19,658.55 "," 25,437.00 ",129%,,,,
ASP,Jan-19," 27,485.93 "," 29,957.00 ",109%,,,,
ASP,Feb-19," 28,872.90 "," 28,266.00 ",98%,,,,
ASP,Mar-19," 30,278.31 "," 29,985.00 ",99%,,,,
ASP,Apr-19," 32,209.75 "," 25,971.00 ",81%,,,,
ASP,May-19," 25,555.53 "," 26,028.00 ",102%,,,,
ASP,Jun-19," 24,541.13 "," 27,177.00 ",111%,,,,
ASP,Jul-19," 26,692.73 "," 28,165.00 ",106%,,,,
GSH,Jan-19," 4,098.03 "," 4,022.30 ",98%,,,,
GSH,Feb-19," 8,623.87 "," 4,886.58 ",57%,,,,
GSH,Mar-19," 9,637.45 "," 5,087.00 ",53%,,,,
GSH,Apr-19," 9,796.93 "," 11,057.33 ",113%,,,,
GSH,May-19," 11,291.13 "," 9,200.00 ",81%,,,,
GSH,Jun-19," 8,827.38 "," 9,200.00 ",104%,,,,
GSH,Jul-19," 16,161.08 "," 13,200.00 ",82%,,,,
WAP,Jan-19," 25,227.13 "," 30,590.18 ",121%,,,,
WAP,Feb-19," 30,342.39 "," 30,113.83 ",99%,,,,
WAP,Mar-19," 50,487.80 "," 54,002.70 ",107%,,,,
WAP,Apr-19," 58,745.28 "," 49,113.50 ",84%,,,,
WAP,May-19," 45,917.04 "," 56,083.23 ",122%,,,,
WAP,Jun-19," 57,296.10 "," 48,348.62 ",84%,,,,
WAP,Jul-19," 46,959.21 "," 62,678.11 ",133%,,,,
AAG,Aug-19," 8,982.20 "," 12,125.00 ",135%,,,,
ACE,Aug-19," 18,363.56 "," 19,966.50 ",109%,,,,
AKS,Aug-19," 29,497.70 "," 27,361.00 ",93%,,,,
ASP,Aug-19," 26,394.82 "," 31,242.00 ",118%,,,,
WAP,Aug-19," 63,868.48 "," 64,965.89 ",102%,,,,
GSH,Aug-19," 15,410.67 "," 12,538.00 ",81%,,,,
AAG,Sep-19," 10,440.45 "," 9,737.00 ",93%,,,,
ACE,Sep-19," 20,738.47 "," 21,276.60 ",103%,,,,
AKS,Sep-19," 25,211.41 "," 20,333.00 ",81%,,,,
ASP,Sep-19," 29,598.47 "," 28,666.00 ",97%,,,,
WAP,Sep-19," 59,527.36 "," 60,396.91 ",101%,,,,
GSH,Sep-19," 16,409.89 "," 18,420.00 ",112%,,,,
AAG,Oct-19," 12,029.28 "," 9,377.00 ",78%,,,,
ACE,Oct-19," 21,030.19 "," 20,283.16 ",96%,,,,
AKS,Oct-19," 23,768.60 "," 27,734.00 ",117%,,,,
ASP,Oct-19," 31,905.58 "," 30,667.00 ",96%,,,,
WAP,Oct-19," 58,217.23 "," 50,188.48 ",86%,,,,
GSH,Oct-19," 16,272.60 "," 13,324.00 ",82%,,,,
