Staffing Projection Details,,,,,,,,
Period:,Feb-20,,,,,,,
Report Date:,11-Feb-20,,,,,,,
Facility,Month,CP(-1) PHrs,Production Plan PHrs,Ratio,,,,
AAG,Jan-19," 10,212.51 "," 15,643.00 ",153%,,,,
AAG,Feb-19," 15,921.77 "," 13,490.00 ",85%,,,,
AAG,Mar-19," 12,955.76 "," 14,587.00 ",113%,,,,
AAG,Apr-19," 14,586.48 "," 10,642.00 ",73%,,,,
AAG,May-19," 10,663.37 "," 9,219.00 ",86%,,,,
AAG,Jun-19," 9,242.97 "," 9,308.00 ",101%,,,,
AAG,Jul-19," 9,329.45 "," 10,200.00 ",109%,,,,
ACE,Jan-19," 19,916.06 "," 15,287.00 ",77%,,,,
ACE,Feb-19," 16,296.62 "," 22,793.40 ",140%,,,,
ACE,Mar-19," 24,453.39 "," 20,609.84 ",84%,,,,
ACE,Apr-19," 21,825.77 "," 19,667.22 ",90%,,,,
ACE,May-19," 22,017.44 "," 18,436.37 ",84%,,,,
ACE,Jun-19," 17,233.80 "," 20,009.00 ",116%,,,,
ACE,Jul-19," 20,083.65 "," 18,710.97 ",93%,,,,
AKS,Jan-19," 15,947.95 "," 14,961.11 ",94%,,,,
AKS,Feb-19," 18,189.18 "," 20,984.00 ",115%,,,,
AKS,Mar-19," 23,491.80 "," 30,477.77 ",130%,,,,
AKS,Apr-19," 24,737.30 "," 32,304.00 ",131%,,,,
AKS,May-19," 22,213.51 "," 30,249.00 ",136%,,,,
AKS,Jun-19," 25,028.89 "," 33,831.00 ",135%,,,,
AKS,Jul-19," 19,253.99 "," 25,437.00 ",132%,,,,
ASP,Jan-19," 25,119.09 "," 29,957.00 ",119%,,,,
ASP,Feb-19," 29,964.43 "," 28,266.00 ",94%,,,,
ASP,Mar-19," 29,750.46 "," 29,985.00 ",101%,,,,
ASP,Apr-19," 30,103.79 "," 25,971.00 ",86%,,,,
ASP,May-19," 26,084.47 "," 26,028.00 ",100%,,,,
ASP,Jun-19," 26,142.30 "," 27,177.00 ",104%,,,,
ASP,Jul-19," 26,557.57 "," 28,165.00 ",106%,,,,
GSH,Jan-19," 4,022.30 "," 4,022.30 ",100%,,,,
GSH,Feb-19," 8,033.61 "," 4,886.58 ",61%,,,,
GSH,Mar-19," 9,145.00 "," 5,087.00 ",56%,,,,
GSH,Apr-19," 10,416.73 "," 11,057.33 ",106%,,,,
GSH,May-19," 10,972.28 "," 9,200.00 ",84%,,,,
GSH,Jun-19," 9,700.00 "," 9,200.00 ",95%,,,,
GSH,Jul-19," 16,788.84 "," 13,200.00 ",79%,,,,
WAP,Jan-19," 23,338.76 "," 30,590.18 ",131%,,,,
WAP,Feb-19," 30,595.18 "," 30,113.83 ",98%,,,,
WAP,Mar-19," 49,599.44 "," 54,002.70 ",109%,,,,
WAP,Apr-19," 54,024.00 "," 49,113.50 ",91%,,,,
WAP,May-19," 49,113.50 "," 56,083.23 ",114%,,,,
WAP,Jun-19," 58,440.12 "," 48,348.62 ",83%,,,,
WAP,Jul-19," 46,539.20 "," 62,678.11 ",135%,,,,
