Profitability Details,,,,,,,,
Period:,Feb-20,,,,,,,
Report Date:,11-Feb-20,,,,,,,
Facility,Month,Net Income,Revenue,,,,,
AAG,Jan-19," $(7,753.44)"," $15,429.73 ",,,,,
AAG,Feb-19," $5,519.04 "," $29,263.22 ",,,,,
AAG,Mar-19," $6,468.24 "," $35,268.46 ",,,,,
AAG,Apr-19," $3,926.92 "," $28,517.92 ",,,,,
AAG,May-19," $4,000.84 "," $26,833.25 ",,,,,
AAG,Jun-19," $(1,427.86)"," $7,218.70 ",,,,,
AAG,Jul-19," $3,462.56 "," $27,307.26 ",,,,,
ACE,Jan-19," $8,228.00 "," $38,887.00 ",,,,,
ACE,Feb-19," $12,315.00 "," $48,085.00 ",,,,,
ACE,Mar-19," $1,544.00 "," $35,763.00 ",,,,,
ACE,Apr-19," $11,133.00 "," $48,808.45 ",,,,,
ACE,May-19," $7,364.00 "," $40,128.00 ",,,,,
ACE,Jun-19," $6,166.90 "," $47,047.30 ",,,,,
ACE,Jul-19," $2,753.16 "," $42,363.81 ",,,,,
AKS,Jan-19," $(18,068.00)"," $71,645.00 ",,,,,
AKS,Feb-19," $(11,663.40)"," $77,504.45 ",,,,,
AKS,Mar-19," $(12,723.63)"," $80,883.82 ",,,,,
AKS,Apr-19," $(36,166.31)"," $57,690.77 ",,,,,
AKS,May-19," $(36,413.69)"," $58,755.08 ",,,,,
AKS,Jun-19," $(49,100.00)"," $41,647.00 ",,,,,
AKS,Jul-19," $(23,899.00)"," $77,002.00 ",,,,,
ALD,Jan-19," $(8,651.00)"," $41,335.00 ",,,,,
ALD,Feb-19," $14,558.52 "," $62,421.03 ",,,,,
ASP,Jan-19," $(15,361.00)"," $55,477.50 ",,,,,
ASP,Feb-19," $(5,251.52)"," $50,690.37 ",,,,,
ASP,Mar-19," $3,720.16 "," $62,523.77 ",,,,,
ASP,Apr-19," $1,928.46 "," $57,566.00 ",,,,,
ASP,May-19," $5,178.57 "," $63,540.79 ",,,,,
ASP,Jun-19," $3,431.20 "," $63,540.79 ",,,,,
ASP,Jul-19," $10,064.15 "," $64,225.56 ",,,,,
GSH,Jan-19," $(15,545.00)"," $37,954.00 ",,,,,
GSH,Feb-19," $(1,442.28)"," $62,470.29 ",,,,,
GSH,Mar-19," $(18,075.49)"," $46,722.67 ",,,,,
GSH,Apr-19," $35,581.63 "," $99,828.98 ",,,,,
