Facility Utilization Details,,,,,,,,,,,,
Period:,Feb-20,,,,,,,,,,,
Report Date:,11-Feb-20,,,,,,,,,,,
Facility,Month,RPE Work Days,RPE Seats,Shifts,Facility Work Days,RPEFacility Days,,,,,,
AAG,Jan-19,1729,84,2,24,4032,,,,,,
AAG,Feb-19,2814,84,2,24,4032,,,,,,
AAG,Mar-19,2839,84,2,27,4536,,,,,,
AAG,Apr-19,1975,74,2,25,3700,,,,,,
AAG,May-19,1760,74,2,26,3848,,,,,,
AAG,Jun-19,1837,74,2,26,3848,,,,,,
AAG,Jul-19,1994,82,2,26,4264,,,,,,
ACE,Jan-19,2510,130,1,24,3120,,,,,,
ACE,Feb-19,2846,138,1,25,3450,,,,,,
ACE,Mar-19,2879,134,1,26,3484,,,,,,
ACE,Apr-19,2621,130,1,25,3250,,,,,,
ACE,May-19,2973,130,1,27,3510,,,,,,
ACE,Jun-19,2974,130,1,26,3380,,,,,,
ACE,Jul-19,3026,133,1,26,3458,,,,,,
AKS,Jan-19,3970,128,2,24,6144,,,,,,
AKS,Feb-19,4038,128,2,25,6400,,,,,,
AKS,Mar-19,4359,115,2,27,6210,,,,,,
AKS,Apr-19,4854,115,2,26,5980,,,,,,
AKS,May-19,6284,115,2,26,5980,,,,,,
AKS,Jun-19,6003,115,2,26,5980,,,,,,
AKS,Jul-19,6070,115,2,26,5980,,,,,,
ALD,Jan-19,2327,77,2,25,3850,,,,,,
ALD,Feb-19,2245,77,2,25,3850,,,,,,
ASP,Jan-19,4059,140,2,24,6720,,,,,,
ASP,Feb-19,4188,140,2,25,7000,,,,,,
ASP,Mar-19,4108,140,2,27,7560,,,,,,
ASP,Apr-19,3848,140,2,25,7000,,,,,,
ASP,May-19,3995,140,2,26,7280,,,,,,
ASP,Jun-19,3814,140,2,26,7280,,,,,,
ASP,Jul-19,3948,140,2,26,7280,,,,,,
GSH,Jan-19,1281,69,1,22,1518,,,,,,
GSH,Feb-19,1497,66,1,25,1650,,,,,,
GSH,Mar-19,1526,62,1,27,1674,,,,,,
GSH,Apr-19,2076,43,2,25,2150,,,,,,
GSH,May-19,2733,55,2,27,2970,,,,,,
GSH,Jun-19,2706,58,2,26,3016,,,,,,
GSH,Jul-19,3575,72,2,26,3744,,,,,,
WAP,Jan-19,6771,150,2,25,7500,,,,,,
WAP,Feb-19,6964,150,2,25,7500,,,,,,
WAP,Mar-19,10174,227,2,27,12258,,,,,,
WAP,Apr-19,8487,227,2,26,11804,,,,,,
WAP,May-19,9859,227,2,27,12258,,,,,,
WAP,Jun-19,9255,227,2,26,11804,,,,,,
WAP,Jul-19,9093,227,2,26,11804,,,,,,
AAG,Aug-19,2298,82,2,26,4264,,,,,,
ASP,Aug-19,4469,140,2,25,7000,,,,,,
ACE,Aug-19,2851,128,1,26,3328,,,,,,
AKS,Aug-19,5665,115,2,26,5980,,,,,,
WAP,Aug-19,8969,227,2,26,11804,,,,,,
GSH,Aug-19,3627,49,3,25,3675,,,,,,
AAG,Sep-19,1957,82,2,25,4100,,,,,,
ASP,Sep-19,4253,140,2,25,7000,,,,,,
ACE,Sep-19,2758,128,1,25,3200,,,,,,
AKS,Sep-19,5053,115,2,24,5520,,,,,,
WAP,Sep-19,8374,227,2,24,10896,,,,,,
GSH,Sep-19,4196,64,3,24,4608,,,,,,
AAG,Oct-19,2157,83,2,25,4150,,,,,,
ASP,Oct-19,4675,140,2,25,7000,,,,,,
ACE,Oct-19,2859,128,1,26,3328,,,,,,
AKS,Oct-19,5056,115,2,26,5980,,,,,,
WAP,Oct-19,8385,227,2,24,10896,,,,,,
GSH,Oct-19,4530,64,3,25,4800,,,,,,
AAG,Nov-19,2113,83,2,25,4150,,,,,,
ASP,Nov-19,4781,140,2,25,7000,,,,,,
ACE,Nov-19,2937,144,1,25,3600,,,,,,
AKS,Nov-19,5037,115,2,25,5750,,,,,,
WAP,Nov-19,6585,227,2,24,10896,,,,,,
GSH,Nov-19,3872,57,3,25,4275,,,,,,
AAG,Dec-19,2330,83,2,25,4150,,,,,,
ASP,Dec-19,4715,140,2,25,7000,,,,,,
ACE,Dec-19,3476,150,1,25,3750,,,,,,
AKS,Dec-19,4020,115,2,26,5980,,,,,,
WAP,Dec-19,6272,227,2,25,11350,,,,,,
GSH,Dec-19,3548,82,2,25,4100,,,,,,
AAG,Jan-20,2348,83,2,25,4150,,,,,,
ACE,Jan-20,3590,150,1,25,3750,,,,,,
AKS,Jan-20,3080,115,2,24,5520,,,,,,
ASP,Jan-20,4607,140,2,25,7000,,,,,,
WAP,Jan-20,5743,227,2,23,10442,,,,,,
GSH,Jan-20,3313,72,2,23,3312,,,,,,
AAG,Feb-20,2495,106,2,24,5088,,,,,,
ACE,Feb-20,3222,150,1,24,3600,,,,,,
AKS,Feb-20,3196,115,2,24,5520,,,,,,
ASP,Feb-20,4935,140,2,24,6720,,,,,,
WAP,Feb-20,5892,227,2,24,10896,,,,,,
GSH,Feb-20,2972,68,2,24,3264,,,,,,
