New Hires Certified for Production Details,,,,,,,,,
Period:,Feb-20,,,,,,,,
Report Date:,11-Feb-20,,,,,,,,
Facility,Month,# of Hires,Certified,,,,,,
AAG,Jan-19,32,5,,,,,,
AAG,Feb-19,26,26,,,,,,
AAG,Apr-19,17,0,,,,,,
AAG,Jun-19,30,28,,,,,,
AAG,Jul-19,34,28,,,,,,
ACE,Jan-19,24,22,,,,,,
ACE,Jan-19,15,15,,,,,,
ACE,Feb-19,7,7,,,,,,
ACE,Feb-19,1,1,,,,,,
ACE,Apr-19,7,7,,,,,,
ACE,May-19,12,12,,,,,,
ACE,May-19,1,1,,,,,,
ACE,Jun-19,12,9,,,,,,
ACE,Jun-19,8,4,,,,,,
ACE,Jul-19,8,5,,,,,,
ACE,Jul-19,8,7,,,,,,
AKS,Jan-19,24,19,,,,,,
AKS,Jan-19,10,5,,,,,,
AKS,Jan-19,41,31,,,,,,
AKS,Feb-19,10,9,,,,,,
AKS,Feb-19,3,3,,,,,,
AKS,Feb-19,10,10,,,,,,
AKS,Mar-19,3,3,,,,,,
AKS,Mar-19,1,1,,,,,,
AKS,Mar-19,4,4,,,,,,
AKS,Mar-19,12,12,,,,,,
AKS,Mar-19,27,27,,,,,,
AKS,Apr-19,9,9,,,,,,
AKS,Apr-19,30,30,,,,,,
AKS,Apr-19,26,26,,,,,,
AKS,Apr-19,1,1,,,,,,
AKS,May-19,41,41,,,,,,
AKS,Jun-19,34,32,,,,,,
AKS,Jul-19,6,6,,,,,,
ASP,Jan-19,4,3,,,,,,
ASP,Jan-19,6,5,,,,,,
ASP,Jan-19,8,5,,,,,,
ASP,Jan-19,7,7,,,,,,
ASP,Jan-19,13,13,,,,,,
ASP,Feb-19,20,18,,,,,,
ASP,Feb-19,11,10,,,,,,
ASP,Mar-19,1,1,,,,,,
ASP,Mar-19,3,0,,,,,,
ASP,Apr-19,4,4,,,,,,
ASP,May-19,7,3,,,,,,
ASP,May-19,2,2,,,,,,
ASP,Jun-19,4,,,,,,,
ASP,Jun-19,6,1,,,,,,
ASP,Jun-19,15,,,,,,,
ASP,Jul-19,2,2,,,,,,
ASP,Jul-19,6,5,,,,,,
ASP,Jul-19,7,6,,,,,,
GSH,Mar-19,21,17,,,,,,
GSH,Apr-19,17,17,,,,,,
GSH,Apr-19,22,18,,,,,,
GSH,May-19,12,10,,,,,,
GSH,Jun-19,7,7,,,,,,
GSH,Jun-19,13,10,,,,,,
GSH,Jun-19,34,34,,,,,,
GSH,Jul-19,18,11,,,,,,
GSH,Jul-19,27,23,,,,,,
WAP,Jan-19,31,31,,,,,,
WAP,Jan-19,12,9,,,,,,
WAP,Jan-19,14,11,,,,,,
WAP,Jan-19,20,16,,,,,,
WAP,Jan-19,18,16,,,,,,
WAP,Feb-19,36,30,,,,,,
WAP,Feb-19,2,2,,,,,,
WAP,Feb-19,21,21,,,,,,
WAP,Mar-19,17,15,,,,,,
WAP,Mar-19,21,20,,,,,,
WAP,Mar-19,32,25,,,,,,
WAP,Mar-19,4,4,,,,,,
WAP,Apr-19,6,4,,,,,,
WAP,Apr-19,9,4,,,,,,
WAP,Apr-19,16,16,,,,,,
WAP,Apr-19,13,7,,,,,,
WAP,May-19,30,24,,,,,,
WAP,May-19,3,3,,,,,,
WAP,May-19,16,12,,,,,,
WAP,Jun-19,12,7,,,,,,
WAP,Jun-19,18,9,,,,,,
WAP,Jun-19,26,16,,,,,,
WAP,Jul-19,14,12,,,,,,
WAP,Jul-19,16,12,,,,,,
AKS,Aug-19,6,6,,,,,,
GSH,Aug-19,32,27,,,,,,
GSH,Aug-19,12,5,,,,,,
AAG,Aug-19,3,0,,,,,,
ASP,Aug-19,7,7,,,,,,
ASP,Aug-19,12,8,,,,,,
WAP,Aug-19,2,2,,,,,,
WAP,Aug-19,8,7,,,,,,
WAP,Aug-19,14,12,,,,,,
WAP,Aug-19,11,7,,,,,,
WAP,Aug-19,11,9,,,,,,
AAG,Sep-19,45,36,,,,,,
ACE,Sep-19,4,4,,,,,,
ACE,Sep-19,3,3,,,,,,
AKS,Sep-19,4,4,,,,,,
ASP,Sep-19,11,10,,,,,,
ASP,Sep-19,8,8,,,,,,
ASP,Sep-19,10,10,,,,,,
ASP,Sep-19,6,5,,,,,,
GSH,Sep-19,10,9,,,,,,
GSH,Sep-19,40,23,,,,,,
GSH,Sep-19,5,4,,,,,,
ACE,Oct-19,4,4,,,,,,
AKS,Oct-19,7,0,,,,,,
ASP,Oct-19,9,9,,,,,,
ASP,Oct-19,10,9,,,,,,
ACE,Nov-19,7,6,,,,,,
ACE,Nov-19,14,13,,,,,,
ASP,Nov-19,2,2,,,,,,
AKS,Nov-19,18,18,,,,,,
ACE,Dec-19,2,2,,,,,,
ACE,Dec-19,3,3,,,,,,
AKS,Dec-19,4,4,,,,,,
AAG,Dec-19,40,35,,,,,,
ASP,Dec-19,17,15,,,,,,
ASP,Dec-19,10,10,,,,,,
ACE,Jan-20,9,9,,,,,,
ACE,Jan-20,8,8,,,,,,
WAP,Jan-20,12,11,,,,,,
WAP,Jan-20,20,19,,,,,,
AAG,Jan-20,18,18,,,,,,
ASP,Jan-20,4,4,,,,,,
ASP,Jan-20,4,4,,,,,,
ASP,Jan-20,7,7,,,,,,
ASP,Jan-20,3,3,,,,,,
AKS,Jan-20,8,8,,,,,,
ACE,Feb-20,8,8,,,,,,
AKS,Feb-20,1,1,,,,,,
AAG,Feb-20,25,22,,,,,,
ASP,Feb-20,8,7,,,,,,
ASP,Feb-20,5,5,,,,,,
ASP,Feb-20,6,6,,,,,,
ASP,Feb-20,5,5,,,,,,
WAP,Feb-20,20,17,,,,,,
