New Hires in Top 40% Details,,,,,,,,,
Period:,Feb-20,,,,,,,,
Report Date:,11-Feb-20,,,,,,,,
Facility,Month,# of Hires,# of New Hires in Top 40%,,,,,,
AAG,Feb-19,24,0,,,,,,
AAG,Mar-19,32,1,,,,,,
AAG,Apr-19,26,0,,,,,,
AAG,Jun-19,17,2,,,,,,
ACE,Feb-19,12,1,,,,,,
ACE,Mar-19,19,0,,,,,,
ACE,Mar-19,5,1,,,,,,
ACE,Apr-19,7,0,,,,,,
ACE,Apr-19,1,0,,,,,,
ACE,May-19,7,0,,,,,,
ACE,May-19,1,0,,,,,,
ACE,Jun-19,4,0,,,,,,
ACE,Jul-19,8,4,,,,,,
AKS,Apr-19,23,8,,,,,,
AKS,May-19,47,12,,,,,,
ALD,Feb-19,14,7,,,,,,
ALD,Feb-19,14,0,,,,,,
ASP,Feb-19,9,0,,,,,,
ASP,Feb-19,8,0,,,,,,
ASP,Feb-19,3,0,,,,,,
GSH,May-19,21,4,,,,,,
GSH,May-19,17,2,,,,,,
GSH,Jun-19,22,3,,,,,,
GSH,Jul-19,12,6,,,,,,
WAP,Jan-19,8,2,,,,,,
WAP,Jan-19,12,0,,,,,,
WAP,Jan-19,17,9,,,,,,
WAP,Jan-19,13,0,,,,,,
WAP,Jan-19,10,0,,,,,,
WAP,Feb-19,21,13,,,,,,
WAP,Feb-19,12,1,,,,,,
WAP,Mar-19,31,6,,,,,,
WAP,Mar-19,9,2,,,,,,
WAP,Mar-19,11,3,,,,,,
WAP,Mar-19,16,1,,,,,,
WAP,Mar-19,16,3,,,,,,
WAP,Apr-19,30,8,,,,,,
WAP,Apr-19,2,0,,,,,,
WAP,Apr-19,21,0,,,,,,
WAP,May-19,17,3,,,,,,
WAP,May-19,21,4,,,,,,
WAP,May-19,32,0,,,,,,
WAP,May-19,4,0,,,,,,
WAP,Jun-19,6,0,,,,,,
WAP,Jun-19,9,0,,,,,,
WAP,Jun-19,16,0,,,,,,
WAP,Jun-19,13,1,,,,,,
WAP,Jul-19,24,9,,,,,,
WAP,Jul-19,3,0,,,,,,
WAP,Jul-19,12,3,,,,,,
ACE,Aug-19,12,1,,,,,,
GSH,Aug-19,7,0,,,,,,
GSH,Aug-19,13,5,,,,,,
GSH,Aug-19,34,3,,,,,,
AAG,Aug-19,30,2,,,,,,
WAP,Aug-19,12,0,,,,,,
WAP,Aug-19,18,4,,,,,,
WAP,Aug-19,26,2,,,,,,
AAG,Sep-19,34,5,,,,,,
ACE,Sep-19,12,2,,,,,,
GSH,Sep-19,18,1,,,,,,
GSH,Sep-19,27,4,,,,,,
WAP,Sep-19,14,0,,,,,,
WAP,Sep-19,16,7,,,,,,
ACE,Oct-19,12,2,,,,,,
WAP,Oct-19,2,1,,,,,,
WAP,Oct-19,7,0,,,,,,
WAP,Oct-19,12,1,,,,,,
WAP,Oct-19,7,0,,,,,,
WAP,Oct-19,9,0,,,,,,
GSH,Oct-19,32,6,,,,,,
GSH,Oct-19,12,1,,,,,,
AAG,Oct-19,3,0,,,,,,
ACE,Nov-19,9,5,,,,,,
GSH,Nov-19,10,2,,,,,,
GSH,Nov-19,40,1,,,,,,
GSH,Nov-19,5,1,,,,,,
AAG,Nov-19,45,8,,,,,,
ACE,Dec-19,4,0,,,,,,
AKS,Dec-19,4,0,,,,,,
AAG,Dec-19,13,0,,,,,,
ACE,Jan-20,17,0,,,,,,
ACE,Feb-20,10,0,,,,,,
AAG,Feb-20,40,0,,,,,,
ASP,Feb-20,7,2,,,,,,
